Series,Squeeze,FocalLength,ImageCircle
Orion Series,2.0,18,31
Orion Series,2.0,21,31
Orion Series,2.0,25,31
Orion Series,2.0,28,31
Orion Series,2.0,32,31
Orion Series,2.0,40,31
Orion Series,2.0,50,31
Orion Series,2.0,65,31
Orion Series,2.0,80,31
Orion Series,2.0,100,31
Orion Series,2.0,135,31
Orion Series,2.0,200,31
Mercury Series,1.5,24,44.8
Mercury Series,1.5,27,44.8
Mercury Series,1.5,32,44.8
Mercury Series,1.5,36,44.8
Mercury Series,1.5,42,44.8
Mercury Series,1.5,54,44.8
Mercury Series,1.5,72,44.8
Mercury Series,1.5,95,44.8
Mercury Series,1.5,138,44.8